-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       6.102ms         0.52%       6.102ms     305.090us            20  
                                 aten::conv_transpose3d         0.00%      24.890us         0.00%      10.720ms       1.340ms       0.000us         0.00%      38.145ms       4.768ms             8  
                      aten::cudnn_convolution_transpose         0.00%       1.155ms         0.00%      10.341ms       1.293ms      34.268ms         2.89%      34.268ms       4.283ms             8  
void xmma__5x_cudnn::implicit_gemm::strided_dgrad_in...         0.00%       0.000us         0.00%       0.000us       0.000us      20.320us         0.00%      20.320us       1.693us            12  
void xmma__5x_cudnn::implicit_gemm::strided_dgrad_in...         0.00%       0.000us         0.00%       0.000us       0.000us      25.441us         0.00%      25.441us       2.120us            12  
void xmma__5x_cudnn::implicit_gemm::strided_dgrad_in...         0.00%       0.000us         0.00%       0.000us       0.000us      26.594us         0.00%      26.594us       2.216us            12  
void xmma__5x_cudnn::implicit_gemm::strided_dgrad_in...         0.00%       0.000us         0.00%       0.000us       0.000us      98.593us         0.01%      98.593us       8.216us            12  
sm80_xmma_dgrad_implicit_gemm_indexed_tf32f32_tf32f3...         0.00%       0.000us         0.00%       0.000us       0.000us      13.016ms         1.10%      13.016ms       1.085ms            12  
void cudnn::engines_precompiled::setTensor5d_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       4.461ms         0.38%       4.461ms     446.070us            10  
void convolveNd_dgrad_float_engine<float, 3, 128, 6,...         0.00%       0.000us         0.00%       0.000us       0.000us     100.911ms         8.52%     100.911ms      10.091ms            10  
                                          aten::sigmoid         0.00%     293.310us         0.02%      43.253ms       7.209ms       3.239ms         0.27%       3.239ms     539.801us             6  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.239ms         0.27%       3.239ms     539.801us             6  
